carrierName,carrierCode
아시아나항공,OZ
아스카리에비에이션,4K
에어스카이 항공,KP
ASL 벨기에 항공,3V
ASL 프랑스 항공,5O
ASL 헝가리 항공,FAH
A니 아일랜드 항공,ABR
ASL 영국 항공,ABV
아소시에이티드항공,SCD
아스타항공,0A
아스트랄항공,8V
ATA 항공,I3
에어트랜스포트인터내셔널,8C
아틀랜틱 에어웨이,RC
아틀라스 에어,5Y
아트락 에어,ATR
아트란,V8
아우라항공,U5
오릭스 에어서비스,UI
아우리그니에어서비스,GR
오로라 ,HZ
오스트리안 항공 ,OS
아반티에어,ATV
아벨로항공,XP
아비아트래픽콤파니,YK
아비아콘지오트랜스,ZR
아비아익스프레스,VXX
에비에어,GD
아비아리싱항공,V2
에어리프트 블라디보스토크,VLV
아비앙카항공,AV
아비앙카 아르헨티나,ANC
아비앙카 카고,QT
아비앙카 코스타리카,LR
아비앙카 에콰도르,2K
아비앙카 엘살바도르,TA
아비앙카 과테말라 (아비테카),GU
아비앙카 온두라스,ISV
아비아셀프,TGA
에비에스타 만디리,VIT
아비아스타,4B
아비앗사,LEM
아비온 익스프레스,X9
아비온 익스프레스,X8
아비어항공,9V
아비욜 리저널,RGR
아비오스타트,VSR
아젤바이잔항공,J2
아즈만 항공,AZM
아조레스항공,S4
아즈텍 항공사,AJ
아줄 브라질 항공,AD
아주르 항공,ZF
아주르 우크라이나 항공,QU
BA 시티플라이어,CJ
BA 유로플라이어,A0
바다르 항공,J4
바하마스에어,UP
발트 항공,BLL
뱀부에어웨이즈,QH
방콕에어웨이즈,PG
바사카 에어,BSX
바틱에어(인도네시아),ID
말린도항공,OD
베이 항공,NMD
베어스킨 항공사,JV
베이징 항공사,BJN
베이징 케피탈 항공,JD
벨라비아항공,B2
베미지 항공,CH
베냉 항공,ABT
벤티우항공운송,BNT
버닝 에어,8E
버자야에어,J8
바르니크 항공,NB
베리 항공,BYA
BH 에어,BGH
부탄 항공,B3
비만방글라데시항공,BG
빈터 카나리아스,NT
비질라 항공,BH
수단 블루버드항공,BLB
블루다트항공,BZ
블루 아일랜드,SI
블루스카이 에비에이션,SBK
블루윙항공,BWI
블루버드항공,BZ
블루버드 에비에이션,BBZ
블루버드 노르딕,BO
블루스카이항공,BKY
블루-익스프레스,BPA
볼케 국제항공,BIA
볼리비아나 드 에비에이션,OB
본자항공,AB
부티크 에어,4B
BRA 항공,TF
브랜슨 에어 익스프레스,1X
브라바 항공,NT
브라보 에어웨이,BAY
브리즈 항공,MX
브리코 항공,BKO
영국항공,BA
영국 국제 항공,BS
브뤼셀 항공,SN
부다페스트 에어크래프트 서비스,RP
부다에어,U4
예산선,BD
버펄로  에어웨이,J0
부코비나항공,BKV
불 항공,LB
불가리아 에어,FB
부라키 에어,UZ
부룬디아비아,BRY
비즈니스 항공,BCV
비즈니스에비에이션센터,UQ
부다 항공,AHY
버즈,RR
버즈에어로,F6
씨앤엠 에어웨이즈,RWG
카페베르데항공스,VR
카보베르데익스프레스,CVE
카이코스익스프레스항공,9Q
카이로 항공,CCE
칼라피아 항공,A7
칼리마 에비에이션,CMV
캄 에어,MO
캄에어-코,QC
캄보디라에어웨이,KR
캄보디아 앙코르 에어,K6
CAMEX 항공,Z7
캐나다 항공,AU
캐나다항공콩고,TWC
캐나다 북부항공,5T
캐너리 플라이,PM
케이프항공,9K
카딕 에어,8F
카고 에어,CGF
카고 3,C3
카고제트,W8
