carrierName,carrierCode
서던 스카이 항공,IH
사우스웨스트항공,WN
사우스윈드항공,2S
스파이스제트,SG
스파이스 익스프레스,SG
스피릿항공,NK
춘추 항공,9C
춘추항공,IJ
스프린트에어,P8
스리랑카항공,UL
수르위자야 항공,SJ
스타보에어,4E
스타에어(인도),S5
스타 에어 에비에이션,URJ
스타 에어카고,BRH
스타항공,DST
스타이스트항공,4R
스타페루,2I
스타플라이어,7G
스타라이트 항공,QP
스타링크 에비에이션,TLK
스타럭스 항공,JX
스테르나 린은 에어레아스,STR
STP 에어웨이,8F
서버반에어플라이트,SUB
수단항공,SD
수단 선에어,SNR
선컨트리 항공,SY
순도르 국제항공,2U
선에어 스칸디나비아,EZ
루이리항공,DR
선클래스 항공,DK
선데어,SR
선댄스에어(베네수엘라),SUV
선익스프레스,XQ
선라이트에어,2R
선라이즈 에어웨이,S6
선플래시 에비에이션,YH
선스테이트 항공,SSQ
선윙항공,WG
수파르나 항공,Y8
슈퍼에어제트,IU
서퍼에어,URF
수리남항공,PY
수시 항공,SQS
스위프트에어,WT
스위스항공,LX
스웁,WO
실트에어,7E
사이팩스 항공,SO
시리아 항공,RB
TAAG 항공,DT
타반항공,HH
TACA 페루,T0
타프탄항공,SBT
테일윈드 항공,TQ
테일윈드 항공,TI
타나나에어서비스,Z3
TAP 포르투갈 항공,TP
타콴에어,K3
타 항공사,YQ
타코항공,3T
TAROM 항공,RO
타즈만 카고 항공,HJ
타실리 항공,SF
타트레제트,TTJ
트빌라비암세니그루지야,L6
텍셀에어,XLR
테즈제트 항공,TEZ
타이 에어아시아,FD
타이 에어아시아 X,XJ
타이 항공,TG
타이익스프레스에어,TXZ
타이 라이온 에어,SL
타이스마일,WE
타이 비엣젯 에어,VZ
카고항공,TZS
톈진 항공 화물,HT
천진항공 ,GS
티베트항공,TV
타이거에어 대만,IT
타이탄에어웨이,ZT
타이탄 항공 몰타,TM
톨 에비에이션,TFX
토탈린하스 항공,TTL
트레이드항공,C3
트레이드크래프트에어,TCA
트레이드윈항공,TJ
트랜스에어콩고,Q8
트랜스몰디브에어웨이,M8
트랜스 네이션 에어웨이,TNW
트랜스에어 세네갈,R2
트랜사비아,HV
트란스아비아 프랑스,TO
트랜스아비아익스포트항공,TXC
트랜스카가,T7
트랜슬리즈에비에이션,TLZ
트랜스누사 항공 서비스,8B
아레오스 볼리비아노스 수송기,2L
과테말라 항공(TAG 항공) 운송,5U
TICV 항공,3B
트랜스웨스트 에어,4T
트라비라 에어,TVV
트라이가나항공,IL
트로픽에어,9N
트루 젯,2T
차라디아,TZ
TUI 네덜랜드 항공,OR
TUI 에어웨이,BY
TUI 플라이 벨기에,TB
TUI 플라이,X3
TUI 플라이 노르딕 AB,6B
튀니지에어,TU
튀니지 익스프레스,UG
튀니지,TAJ
터키항공,TK
투르크메니스탄항공,T5
터피알 항공,T9
투루칸 항공,TRH
투스에어웨이,U8
티웨이 에어,TW
트윈제트,T7
투플랙스 항공,2F
우간다에어카고,UCC
우간다항공 ,UR
우크라이나 에어 엔터프라이즈,UKN
울렌도 에어링크,W4
ULS 화물항공,GO
얼티미트 전세항공,UE
유니항공,B7
유니크 에어,6U
유나이티드항공,UA
유나이티드 나이지리아,NUA
유나이티에어(가나),AFD
유니월드에어카고,U7
UPS,5X
UR 항공,UD
우랄항공,U6
우루무치 에어,UQ
미국제트항공,UJ
US 방글라 항공,BS
유테어 항공,UT
튜멘스페카비아,UTR
유브이티 아에로,RT
우즈베키스탄항공,HY
발란 국제 화물 차터,VLN
밸류젯,VK
반에어유럽,V9
바레시항공,VRH
베네졸라나,VNE
벤세카 인터내셔널,V4
VI 에어링크,V6
비에케스 에어링크,V4
비엣젯,VJ
베트남 항공 서비스(VASCO),0V
베트남항공,VN
비엣트래블 항공,VU
비에스타항공,VSM
버진아틀랜틱항공,VS
버진오스트레일리아,VA
비젼 에어 인터내셔널,VIS
비스타라,UK
비바 에어버스,VB
비바 페루,VV
보이패스 항공,2Z
볼라리스 항공,Y4
볼라리스 코스타리카,Q6
볼라리스 엘살바도르,N3
볼가-드뇌프르 항공,VI
볼로그다에어,VGV
볼로테아,V7
보스톡항공,VTK
보야주르항공,VC
부엘링 항공,VY
와모스 항공,EB
워블로우즈 에어벤처스,4W
와사야 에어웨이,WP
와타니아 항공,WAN
웨스트 에어,PN
웨스트 에어,PCM
웨스트 애틀란틱,NPT
웨스트코스트에어,8O
웨스트 링크 항공,WLN
웨스트에어에비에이션(나미비아),WV
웨스턴에어,WU
웨스턴 글로벌 항공,KD
웨스트제트 ,WS
웨스트제트 앙코르,WR
화이트에어웨이즈,WI
위데뢰에항공,WF
위젯,WJT
윈에어,WM
윈드로즈 항공사,7W
윙고항공,P5
윙즈에어,IW
위즈에어 ,W6
위즈에어 아부다비,5W
위즈 에어 몰타,W4
위즈에어 영국,W9
월드아틀랜틱 항공,WL
월드카고항공,3G
월드2플라이,2W
월드 플라이 포르투갈,3P
라리트에어서비스,8V
엑스플라이 항공,EE
중국샤먼항공,MF
익스프레스 에어,XN
야쿠티아 항공,R3
야말 항공,YC
얀 항공,YE
옐로우윙즈에어서비스,ELW
예멘항공,IY
예티 항공,YT
유언웨이즈 항공,YZ
유즈마쉬아비아,2N
자그로스항공,IZG
잠비아 항공,ZN
잔에어,B4
제타비아,ZK
제티수아비아콤파니,JTU
제저에어,KZH
지멕스에비에이션,XM
집에어,ZG
줌에어 인디아,ZO
조넥스항공운수,ORZ
에어반,ARB
감귤류,CTU
컨넥트에어웨이즈,MW
코스타항공,COT
플라이 릴리,FL
플라이 페루항공,H8
헤이웨이즈항공,VF
자스민 항공,JO
레전드 항공,LZ
마나식 항공,XN
노르드 대서양 영국,Z0
원에어,HC
스칸블루 항공,CBU
세이셸 국제항공,SCH
SINO-LAC 항공,HQ
스카이버드항공,SBL
스카이업 MT,U5
테헤란항공,THR
타리 서머 에어웨이즈,9T
우크라이나 윙즈,UWJ
유스카이 항공,URI
