ID,ICAO,TYPE,AIRPORT_NAME,LAT,LNG,CONTINENT_CODE,CONTINENT,COUNTRY_CODE,COUNTRY,CITY,IATA
32510,UEMO,medium_airport,오룡민스크 공항,60.397499,120.471001,EU,유럽,RU,러시아,Olyokminsk,OLZ
44662,UEMT,medium_airport,우스네라 공항,64.55000305,143.1150055,EU,유럽,RU,러시아,Ust-Nera,USR
44668,UEMU,small_airport,우스마야 공항,60.35699844,134.4349976,EU,유럽,RU,러시아,Ust-Maya,UMS
43673,UENI,small_airport,베르흐네빌리유스크 공항,63.4580574,120.269165,AS,아시아,RU,러시아,Verkhnevilyuisk,VHV
35092,UENS,small_airport,순타르 공항,62.18500137,117.6350021,AS,아시아,RU,러시아,Suntar,SUY
43006,UENW,medium_airport,빌류이스크 공항,63.756668,121.693336,AS,아시아,RU,러시아,Vilyuisk,VYI
32512,UERL,medium_airport,렌스크 공항,60.72060013,114.8259964,AS,아시아,RU,러시아,Lensk,ULK
6448,UERP,medium_airport,폴리안니 공항,66.400398,112.029999,AS,아시아,RU,러시아,Yakutia,PYJ
6449,UERR,medium_airport,미르느이 공항,62.53469849,114.0390015,AS,아시아,RU,러시아,Mirny,MJZ
44870,UERS,medium_airport,사스키야흐 공항,71.927902,114.080002,EU,유럽,RU,러시아,Saskylakh,SYS
316761,UESK,medium_airport,스레드네콜림스크 공항,67.4805,153.7364,EU,유럽,RU,러시아,Srednekolymsk,SEK
32514,UESO,medium_airport,쵸커다 공항,70.6231,147.901993,AS,아시아,RU,러시아,Chokurdah,CKH
30870,UESS,medium_airport,체르스키 공항,68.74060059,161.3379974,AS,아시아,RU,러시아,Cherskiy,CYX
6450,UEST,medium_airport,틱시 공항,71.6977005,128.9029999,AS,아시아,RU,러시아,Tiksi,IKS
42980,UESU,medium_airport,카솜페 공항,65.7485,150.8889,AS,아시아,RU,러시아,Zyryanka,ZKP
313726,UG-0001,small_airport,Kisoro Airport,-1.2837,29.7197,AF,아프리카,UG,우간다,Kisoro,KXO
35165,UG-OYG,small_airport,모요 공항,3.64440012,31.76276207,AF,아프리카,UG,우간다,Moyo,OYG
6451,UGKO,medium_airport,코핏나리 공항,42.176768,42.482393,AS,아시아,GE,조지아,Kopitnari,KUT
6452,UGSB,medium_airport,바투미 공항,41.610298,41.599701,AS,아시아,GE,조지아,Batumi,BUS
3092,UGSS,medium_airport,수후미 바부샤라 공항,42.8582,41.128101,AS,아시아,GE,조지아,Sukhumi,SUI
6453,UGTB,large_airport,트빌리시 국제공항 ,41.669201,44.9547,AS,아시아,GE,조지아,Tbilisi,TBS
6454,UHBB,medium_airport,이냐체프 공항,50.42539978,127.4120026,AS,아시아,RU,러시아,Blagoveschensk,BQS
6455,UHHH,medium_airport,노비 공항,48.528338,135.188588,AS,아시아,RU,러시아,Khabarovsk,KHV
31790,UHKK,medium_airport,콤소몰스크-어-아무르 공항,50.4090004,136.9340057,AS,아시아,RU,러시아,Komsomolsk-on-Amur,KXK
6456,UHMA,medium_airport,우골리 공항,64.734902,177.740997,AS,아시아,RU,러시아,Anadyr,DYR
44473,UHMK,medium_airport,케퍼베이엠 공항,67.845001,166.139999,AS,아시아,RU,러시아,Keperveem,KPW
6458,UHMM,medium_airport,수코이 공항,59.9109993,150.7200012,AS,아시아,RU,러시아,Magadan,GDX
44660,UHMO,small_airport,마르코보 공항,64.665088,170.429782,EU,유럽,RU,러시아,Markovo,KVM
45189,UHNB,small_airport,보고로드스코예 공항,52.381041,140.449378,AS,아시아,RU,러시아,Bogorodskoye,BQG
44611,UHNN,medium_airport,니콜라이에프스-에-아무르 공항,53.154999,140.649994,AS,아시아,RU,러시아,Nikolayevsk-na-Amure Airport,NLI
35177,UHOO,medium_airport,오호츠크 공항,59.410065,143.056503,AS,아시아,RU,러시아,Okhotsk,OHO
6460,UHPP,medium_airport,옐리초프 공항,53.16764,158.451863,AS,아시아,RU,러시아,Petropavlovsk-Kamchatsky,PKC
319423,UHSI,small_airport,이투루프 야즈니 공항,45.256389,147.95549,EU,유럽,RU,러시아,Kurilsk,ITU
35125,UHSK,small_airport,샤흐티크스크 공항,49.1903,142.082993,EU,유럽,RU,러시아,Shakhtyorsk,EKS
6461,UHSS,medium_airport,유즈노 사헐린스크 공항,46.885461,142.717466,EU,유럽,RU,러시아,Yuzhno-Sakhalinsk,UUS
